epoch,concat_train_loss,concat_val_loss,concat_train_acc,concat_val_acc,concat_val_top5_acc,cross_attention_train_loss,cross_attention_val_loss,cross_attention_train_acc,cross_attention_val_acc,cross_attention_val_top5_acc,gated_train_loss,gated_val_loss,gated_train_acc,gated_val_acc,gated_val_top5_acc,image_only_train_loss,image_only_val_loss,image_only_train_acc,image_only_val_acc,image_only_val_top5_acc,score_fusion_masked_train_loss,score_fusion_masked_val_loss,score_fusion_masked_train_acc,score_fusion_masked_val_acc,score_fusion_masked_val_top5_acc
1,4.4297,4.3996,1.36,0.0,4.22,4.4218,4.3393,1.75,5.33,11.58,4.4171,4.3743,1.87,2.29,13.32,4.438,4.4045,1.07,1.29,7.3,4.438,4.4035,0.94,2.03,7.09
2,4.3859,4.3063,1.94,4.42,15.15,4.2784,4.1178,4.88,19.97,43.26,4.3965,4.3055,2.24,5.57,18.73,4.3976,4.3207,1.8,2.89,13.95,4.3974,4.3448,1.52,2.7,12.17
3,4.3208,4.1781,3.42,15.3,34.17,4.057,3.8202,15.85,35.94,60.63,4.3402,4.2091,3.03,10.49,28.45,4.3,4.2034,3.62,9.65,28.24,4.3151,4.207,3.02,7.08,30.76
4,4.2251,4.0069,6.71,23.12,50.38,3.7773,3.4865,32.96,44.59,73.56,4.2678,4.0507,5.24,19.33,46.82,4.1488,3.9854,8.43,12.86,39.52,4.1477,3.9716,8.41,16.87,40.57
5,4.1046,3.778,11.79,38.09,64.46,3.4492,3.1435,50.42,50.58,77.65,4.1693,3.8426,10.07,33.43,56.17,3.9,3.62,15.01,20.91,53.47,3.8698,3.6487,15.43,19.91,55.1
6,3.9211,3.4787,22.2,47.61,70.81,3.0592,2.7637,61.62,55.24,80.38,3.989,3.5552,18.01,39.99,69.86,3.5529,3.28,25.78,27.02,64.43,3.5275,3.2432,26.38,32.74,63.22
7,3.6979,3.1493,33.35,55.43,81.73,2.6753,2.4581,70.66,57.9,83.1,3.7811,3.2584,28.74,52.77,77.07,3.2336,2.9857,35.69,31.52,72.41,3.2264,2.9093,35.28,37.47,76.74
8,3.5233,2.8753,39.57,56.79,83.14,2.3121,2.1815,77.86,60.23,86.85,3.6009,3.0073,36.62,57.02,80.67,2.9596,2.788,42.48,34.42,75.06,2.9535,2.7093,42.68,41.18,77.75
9,3.2791,2.6181,47.61,61.55,86.66,2.0351,2.035,82.01,62.23,88.89,3.3656,2.7685,46.6,58.34,82.46,2.7058,2.3652,51.01,43.42,87.35,2.699,2.4033,51.33,46.58,83.5
10,3.0369,2.4188,54.23,60.53,88.43,1.8014,1.9043,86.17,66.89,89.91,3.1398,2.5813,52.74,57.02,86.43,2.453,2.1805,58.04,50.82,89.35,2.463,2.3606,57.39,47.6,85.19
11,2.7675,2.2351,61.5,63.25,89.48,1.6337,1.8401,88.38,63.89,91.27,2.9052,2.4089,59.85,60.63,87.15,2.2273,2.2828,63.02,45.03,83.7,2.2312,2.2332,64.87,51.98,86.2
12,2.566,2.084,66.45,64.61,91.6,1.49,1.7708,89.67,65.89,92.29,2.7074,2.239,64.65,62.6,88.59,2.0717,1.9572,67.04,53.72,90.34,2.0778,1.9738,68.77,59.41,88.57
13,2.3996,1.9966,71.26,66.31,91.6,1.407,1.8305,90.17,66.89,91.62,2.5087,2.178,68.61,61.61,89.3,2.0301,1.8819,68.97,57.26,90.67,2.0218,2.0055,70.58,55.69,89.25
