epoch,text_scale
1,0.000581
2,0.002733
3,0.006993
4,0.015427
5,0.024393
6,0.033788
7,0.042546
8,0.049903
9,0.056981
10,0.062940
11,0.068793
12,0.073588
13,0.078054
14,0.081770
15,0.085718
16,0.088911
17,0.091935
18,0.094840
19,0.097735
20,0.100213
21,0.102835
22,0.105215
23,0.107231
24,0.109263
25,0.111135
26,0.112917
27,0.114703
28,0.116302
29,0.117836
30,0.119104
31,0.120782
32,0.122187
33,0.123523
34,0.124589
35,0.125561
36,0.126599
37,0.127446
38,0.128075
39,0.128861
40,0.129567
41,0.130119
42,0.130584
43,0.130934
44,0.131207
45,0.131456
46,0.131653
47,0.131788
48,0.131906
49,0.131975
50,0.132018
