epoch,concat_train_loss,concat_val_loss,concat_train_acc,concat_val_acc,concat_val_top5_acc,cross_attention_train_loss,cross_attention_val_loss,cross_attention_train_acc,cross_attention_val_acc,cross_attention_val_top5_acc,gated_train_loss,gated_val_loss,gated_train_acc,gated_val_acc,gated_val_top5_acc,image_only_train_loss,image_only_val_loss,image_only_train_acc,image_only_val_acc,image_only_val_top5_acc,score_fusion_masked_train_loss,score_fusion_masked_val_loss,score_fusion_masked_train_acc,score_fusion_masked_val_acc,score_fusion_masked_val_top5_acc
1,4.4297,4.3996,1.36,0.00,4.05,4.4218,4.3393,1.75,5.41,11.49,4.4171,4.3743,1.87,2.36,12.50,4.4380,4.4045,1.07,1.35,7.43,4.4380,4.4035,0.94,2.03,7.09
2,4.3859,4.3063,1.94,4.39,14.53,4.2784,4.1178,4.88,20.27,42.91,4.3965,4.3055,2.24,5.74,17.57,4.3976,4.3207,1.80,3.04,14.19,4.3974,4.3448,1.52,2.70,12.16
3,4.3208,4.1781,3.42,15.20,32.77,4.0570,3.8202,15.85,36.49,60.14,4.3402,4.2091,3.03,10.81,26.69,4.3000,4.2034,3.62,10.14,28.72,4.3151,4.2070,3.02,7.09,30.74
4,4.2251,4.0069,6.71,22.97,48.31,3.7773,3.4865,32.96,45.27,72.97,4.2678,4.0507,5.24,19.93,43.92,4.1488,3.9854,8.43,13.51,40.20,4.1477,3.9716,8.41,16.89,40.54
5,4.1046,3.7780,11.79,37.84,61.82,3.4492,3.1435,50.42,51.35,77.03,4.1693,3.8426,10.07,34.46,52.70,3.9000,3.6200,15.01,21.96,54.39,3.8698,3.6487,15.43,19.93,55.07
6,3.9211,3.4787,22.20,47.30,67.91,3.0592,2.7637,61.62,56.08,79.73,3.9890,3.5552,18.01,41.22,65.54,3.5529,3.2800,25.78,28.38,65.54,3.5275,3.2432,26.38,32.77,63.18
7,3.6979,3.1493,33.35,55.07,78.38,2.6753,2.4581,70.66,58.78,82.43,3.7811,3.2584,28.74,54.39,72.30,3.2336,2.9857,35.69,33.11,73.65,3.2264,2.9093,35.28,37.50,76.69
8,3.5233,2.8753,39.57,56.42,79.73,2.3121,2.1815,77.86,61.15,86.15,3.6009,3.0073,36.62,58.78,75.68,2.9596,2.7880,42.48,36.15,76.35,2.9535,2.7093,42.68,41.22,77.70
9,3.2791,2.6181,47.61,61.15,83.11,2.0351,2.0350,82.01,63.18,88.18,3.3656,2.7685,46.60,60.14,77.36,2.7058,2.3652,51.01,45.61,88.85,2.6990,2.4033,51.33,46.62,83.45
10,3.0369,2.4188,54.23,60.14,84.80,1.8014,1.9043,86.17,67.91,89.19,3.1398,2.5813,52.74,58.78,81.08,2.4530,2.1805,58.04,53.38,90.88,2.4630,2.3606,57.39,47.64,85.14
